analysis_set,signal,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,answer_uncertainty,0.17,17,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.18,18,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.19,19,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.2,20,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.21,21,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.22,22,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.23,23,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.24,24,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.25,25,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.26,26,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.27,27,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.28,28,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.29,29,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.3,30,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.31,31,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.32,32,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.33,33,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.34,34,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.35,35,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.36,36,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.37,37,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.38,38,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.39,39,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.4,40,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.41,41,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.42,42,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.43,43,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.44,44,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.45,45,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.46,46,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.47,47,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.48,48,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.49,49,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.5,50,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.51,51,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.52,52,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.53,53,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.54,54,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.55,55,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.56,56,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.57,57,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.58,58,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.59,59,0.5351089588377724,0.46489104116222757
archehr_test,answer_uncertainty,0.6,60,0.5357142857142858,0.4642857142857142
archehr_test,answer_uncertainty,0.61,61,0.5362997658079626,0.46370023419203743
archehr_test,answer_uncertainty,0.62,62,0.5368663594470046,0.46313364055299544
archehr_test,answer_uncertainty,0.63,63,0.5374149659863945,0.4625850340136055
archehr_test,answer_uncertainty,0.64,64,0.5379464285714286,0.4620535714285714
archehr_test,answer_uncertainty,0.65,65,0.5384615384615384,0.46153846153846156
archehr_test,answer_uncertainty,0.66,66,0.5378787878787878,0.46212121212121215
archehr_test,answer_uncertainty,0.67,67,0.5373134328358209,0.4626865671641791
archehr_test,answer_uncertainty,0.68,68,0.5367647058823529,0.4632352941176471
archehr_test,answer_uncertainty,0.69,69,0.5362318840579711,0.46376811594202894
archehr_test,answer_uncertainty,0.7,70,0.5357142857142857,0.4642857142857143
archehr_test,answer_uncertainty,0.71,71,0.5352112676056338,0.46478873239436624
archehr_test,answer_uncertainty,0.72,72,0.5347222222222222,0.4652777777777778
archehr_test,answer_uncertainty,0.73,73,0.5342465753424658,0.4657534246575342
archehr_test,answer_uncertainty,0.74,74,0.5405405405405406,0.45945945945945943
archehr_test,answer_uncertainty,0.75,75,0.5466666666666666,0.45333333333333337
archehr_test,answer_uncertainty,0.76,76,0.5460526315789473,0.45394736842105265
archehr_test,answer_uncertainty,0.77,77,0.5454545454545454,0.4545454545454546
archehr_test,answer_uncertainty,0.78,78,0.5448717948717948,0.4551282051282052
archehr_test,answer_uncertainty,0.79,79,0.5443037974683544,0.45569620253164556
archehr_test,answer_uncertainty,0.8,80,0.5475,0.4525
archehr_test,answer_uncertainty,0.81,81,0.5506172839506173,0.44938271604938274
archehr_test,answer_uncertainty,0.82,82,0.5536585365853658,0.4463414634146342
archehr_test,answer_uncertainty,0.83,83,0.5566265060240965,0.44337349397590353
