analysis_set,case_id,answer_uncertainty,answer_pairwise_distance,n_answer_clusters
archehr_test,archehr_78,0.2652949955741215,0.08774327486753464,2
archehr_test,archehr_79,0.21732201127364886,0.05034249648451805,2
archehr_test,archehr_80,0.30102999566398114,0.09140727669000626,2
archehr_test,archehr_81,-0.0,0.043981559574604034,1
archehr_test,archehr_82,-0.0,0.02239123359322548,1
archehr_test,archehr_83,-0.0,0.06428214907646179,1
archehr_test,archehr_84,0.21732201127364886,0.10289275646209717,2
archehr_test,archehr_85,-0.0,0.0025434375274926424,1
archehr_test,archehr_86,-0.0,0.003141987370327115,1
archehr_test,archehr_87,0.14118174150460758,0.07298287749290466,2
archehr_test,archehr_88,0.5183520069376301,0.128901869058609,4
archehr_test,archehr_89,-0.0,0.01607055589556694,1
archehr_test,archehr_90,-0.0,0.006676158867776394,1
archehr_test,archehr_91,-0.0,0.04104031249880791,1
archehr_test,archehr_92,0.29228525323862886,0.12841875851154327,2
archehr_test,archehr_93,0.5903089986991943,0.16647431254386902,5
archehr_test,archehr_94,-0.0,0.04081863909959793,1
archehr_test,archehr_95,0.21732201127364886,0.10371655225753784,2
archehr_test,archehr_96,0.21732201127364886,0.11306954175233841,2
archehr_test,archehr_97,0.40843137199002016,0.10500722378492355,4
archehr_test,archehr_98,0.4096910013008056,0.1202978640794754,3
archehr_test,archehr_99,-0.0,0.0011320101330056787,1
archehr_test,archehr_100,0.14118174150460758,0.0760853961110115,2
archehr_test,archehr_101,-0.0,0.0003033796965610236,1
archehr_test,archehr_102,-0.0,0.0058698467910289764,1
archehr_test,archehr_103,0.14118174150460758,0.07519131153821945,2
archehr_test,archehr_104,0.29228525323862886,0.08909162133932114,2
archehr_test,archehr_105,-0.0,0.029568728059530258,1
archehr_test,archehr_106,0.14118174150460758,0.062469493597745895,2
archehr_test,archehr_107,-0.0,0.007111246231943369,1
archehr_test,archehr_108,-0.0,0.03245914354920387,1
archehr_test,archehr_109,-0.0,0.0343574620783329,1
archehr_test,archehr_110,0.34822537285722394,0.10919751971960068,3
archehr_test,archehr_111,-0.0,0.048811811953783035,1
archehr_test,archehr_112,-0.0,0.06201991066336632,1
archehr_test,archehr_113,-0.0,0.018793202936649323,1
archehr_test,archehr_114,0.2652949955741215,0.10445845872163773,2
archehr_test,archehr_115,-0.0,0.04204421490430832,1
archehr_test,archehr_116,-0.0,0.039146583527326584,1
archehr_test,archehr_117,0.29228525323862886,0.07483799010515213,2
archehr_test,archehr_118,-0.0,0.006927051581442356,1
archehr_test,archehr_119,-0.0,0.018528811633586884,1
archehr_test,archehr_120,-0.0,0.02457353286445141,1
